country,code,gdp_ppp
Aruba,ABW,
Afghanistan,AFG,87250728944
Angola,AGO,2.21E+11
Albania,ALB,41371722639
Andorra,AND,
Arab World,ARB,6.51E+12
United Arab Emirates,ARE,6.83E+11
Argentina,ARG,1.03E+12
Armenia,ARM,42057833683
American Samoa,ASM,
Antigua and Barbuda,ATG,2215888205
Australia,AUS,1.35E+12
Austria,AUT,5.25E+11
Azerbaijan,AZE,1.50E+11
Burundi,BDI,9026329302
Belgium,BEL,6.26E+11
Benin,BEN,40401850886
Burkina Faso,BFA,46340464706
Bangladesh,BGD,8.07E+11
Bulgaria,BGR,1.71E+11
Bahrain,BHR,76957607395
Bahamas,BHS,14514363029
Bosnia and Herzegovina,BIH,52128318315
Belarus,BLR,1.89E+11
Belize,BLZ,2847714969
Bermuda,BMU,
Bolivia,BOL,1.05E+11
Brazil,BRA,3.22E+12
Barbados,BRB,4674770295
Brunei Darussalam,BRN,28021970171
Bhutan,BTN,
Botswana,BWA,42624886832
Central African Republic,CAF,4669395141
Canada,CAN,1.93E+12
Central Europe and the Baltics,CEB,3.49E+12
Switzerland,CHE,6.09E+11
Channel Islands,CHI,
Chile,CHL,4.77E+11
China,CHN,2.35E+13
Cote d'Ivoire,CIV,1.40E+11
Cameroon,CMR,98435605135
Congo,COD,99240953693
Colombia,COL,7.87E+11
Comoros,COM,2730570852
Cabo Verde,CPV,4107506078
Costa Rica,CRI,1.03E+11
Caribbean small states,CSS,1.19E+11
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,36376855079
Czech Republic,CZE,4.54E+11
Germany,DEU,4.66E+12
Djibouti,DJI,5596101782
Dominica,DMA,909042210.9
Denmark,DNK,3.48E+11
Dominican Republic,DOM,2.06E+11
Algeria,DZA,5.09E+11
Ecuador,ECU,2.06E+11
Egypt,EGY,1.23E+12
Euro area,EMU,1.69E+13
Eritrea,ERI,
Spain,ESP,1.99E+12
Estonia,EST,51486474644
Ethiopia,ETH,2.59E+11
European Union,EUU,2.08E+13
Fragile and conflict affected situations,FCS,3.85E+12
Finland,FIN,2.83E+11
Fiji,FJI,12839870256
France,FRA,3.32E+12
Faroe Islands,FRO,
Micronesia,FSM,
Gabon,GAB,33644706827
United Kingdom,GBR,3.26E+12
Georgia,GEO,58173953153
Ghana,GHA,1.71E+11
Gibraltar,GIB,
Guinea,GIN,34103172455
Gambia,GMB,5395916227
Guinea-Bissau,GNB,3979797410
Equatorial Guinea,GNQ,26207328980
Greece,GRC,3.36E+11
Grenada,GRD,2011137673
Greenland,GRL,
Guatemala,GTM,1.49E+11
Guam,GUM,
Guyana,GUY,7909616533
High income,HIC,6.44E+13
Hong Kong ,HKG,4.68E+11
Honduras,HND,58139182458
Croatia,HRV,1.22E+11
Haiti,HTI,20279897297
Hungary,HUN,3.32E+11
